	1	
53.	53	
장 선생님. 왜 그러세요?	老张，你怎么了？	lǎozhāng ， nǐ zěnme le ？
별 거 아니에요. 기침을 좀 하는 것뿐이에요	没什么，有点儿咳嗽	méishénme ， yǒudiǎnr késou
담배피우지마세요	你别抽烟了。	nǐbié chōuyān le 。
매일 피우는 양이 많지 않아요.	我每天抽得不多。	wǒ měitiān chōude bù duō 。
그건 건강에 좋지 안아요， 그렇지만 불편하거든요	那对身体也不好。我想不抽，可是觉得不舒服。	nà duì shēntǐ yě bùhǎo 。 wǒ xiǎng bù chōu ， kěshì juéde bù shūfu 。
시간이 많이 지나가면 익숙해질 거에요	时间长了就习惯了。	shíjiān cháng le jiù xíguàn le 。
좋아요, 한번 시도해볼게요. 오늘은 우선 약을 좀 먹어야겠어요	好，我试试。今天吃点儿药。	hào ， wǒ shìshi 。 jīntiān chī diǎnr yào 。
병원에 가보도록 하세요	你去医院看看吧	nǐ qù yīyuàn kànkan ba
54.	54	
너는 차를 너무 빠르게 운전하는 구나. 이러면 위험하잖아	你开车开得太快了。这样不安全。	nǐ kāichē kāide tàikuài le 。 zhèyàng bù ānquán 。
일이 있어서 빨리 가야 해	我有事，得快点儿去。	wǒ yǒushì ， de kuàidiǎnr qù 。
그래도 이렇게 빠르게 달리면 안 돼	那也不能开得这么快。	nà yě bùnéng kāi de zhème kuài 。
괜찮아. 난 운전 기술이 좋거든	没关系。我开车的技术好。	méiguānxi 。 wǒ kāichē de jìshù hào 。
빠르게 운전하면 사고가 나기 쉬워. 어제 칭화대학교에서 교통사고가 났어	开快了容易出事故。昨天清华大学前边出交通事故了。	kāikuài le róngyì chū shìgù 。 zuótiān qīnghuádàxué qiánbian chū jiāotōngshìgù le 。
정말	真的吗？	zhēnde mǎ ？
넌 안전에 주의해야 해	你得注意安全啊！	nǐ de zhùyìānquán a ！
좋아. 앞으로는 차를 빨리 몰지 않을게.	好。我以后不开快车了。	hào 。 wǒ yǐhòu bù kāikuàichē le 。
55.	55	
오늘은 날씨가 정말 춥다.	今天天气真冷。	jīntiāntiānqì zhēnlěng 。
맞아. 오늘이 어제보다 추워.	是啊。 今天比昨天冷。	shì a 。   jīntiān bǐ zuótiān lěng 。
이곳의 날씨에 넌 적응이 됐니?	这儿的天气你习惯了吗。	zhèr de tiānqì nǐ xíguàn le mǎ 。
아직 그다지 적응하진 못했어. 여긴 도쿄보다 훨씬 춥거든.	还不太习惯呢。这儿比东京冷多了。	hái bù tài xíguàn ní 。 zhèr bǐ dōngjīng lěngduō le 。
너희나라의 겨울은 그다지 춥지 않니?	你们那儿冬天不太冷吗？	nǐmen nàr dōngtiān bù tàilěng mǎ ？
응	是的。	shì de 。
도쿄에는 눈이 와?	东京下雪吗？	dōngjīng xiàxuě mǎ ？
눈은 아주 적게 오고. 가끔 비가와.	很少下雪。有时候下雨。	hěnshǎo xiàxuě 。 yǒushíhou xiàyǔ 。
일기예보에서 그러는데 내일은 강풍이 불어서 오늘보다 더 추울거래.	天气预报说，明天有大风，比今天还冷呢。	tiānqìyùbào shuō ， míngtiān yǒu dàfēng ， bǐ jīntiān hái lěng ní 。
그래	是吗？	shì mǎ ？
너 감기에 걸리지 않으려면 옷을 좀 많이 입어야겠다	你要多出穿衣服，比感冒了。	nǐ yào duōchū chuānyīfú ， bǐ gǎnmào le 。
56.	56	
장선생님, 베이징의 여름은 덥나요?	张老师，北京的夏天热吗？	zhāng lǎoshī， Běijīng de xiàtiān rè ma
그다지 덥지 않단다. 너희들의 나라도 이곳과 같지	不太热。 你们那儿跟这儿一样吗？	bútàirè. nǐmennàergēn Zhèe yíyàng ma
달라요, 여름은 덥지 않고, 겨울은 아주 추워요.	不一样，夏天不热，冬天很冷。	bùyíyàng，xiàtiānbúrè，dōngtiānhěnlěng。
얼마나 추운데	有多冷？	yǒuduōlěng
영하 이십여 도 쯤이에요	零下二十多度。	língxiàèrshíduōdù
정말 춥구나!	真冷啊！	zhēn lěng a
하지만 저는 겨울이 좋아요	可是，我喜欢冬天。	kěshì，wǒ xǐhuan dōngtiān。
왜?	为什么？	wèishénme
스케이트와 스키를 탈 수 있거든요	可以滑冰，滑雪。	kěyǐ huábīng，huáxuě
	57	
넌 어떤 운동 좋아하니?	你喜欢什么运动？	nǐ xǐhuan shénme yùndòng
등산이랑, 스케이트, 수영을 모두 좋아해. 너는 ?	爬山，滑冰，游泳，我都喜欢。你呢？	páshān， huábīng， yóuyǒng， wǒ dōu xǐhuan。nǐ ne？
나는 자주 농구와 배구를 해, 그리고 수영도 좋아해	我常常打篮球，打排球，也喜欢游泳。	wǒ chángcháng dǎ  lánqiú， dǎ páiqiú， yě xǐhuan yóuyǒng.
별로 잘하지 못해, 너보다 못해, 내일 배구시합이 있는데 보러 갈래?	你游得好不好，我游得不好。没有你游得好。明天有排球比赛，你看吗？	nǐ yóu de hǎobùhǎo，wó yóu de bùhǎo，méiyǒu nǐ yóu de hǎo。 míngtiān yǒu páiqiú bǐsài， nǐ kàn ma？
어느 팀과 어는 팀이 시합을 하는데?	谁跟谁比赛？	shuí gēn shuí bǐsài
베이징팀이랑 광둥팀이 해	北京队对广东队。	běijīngduì duì guǎngdōngduì
그러면 분명 재미 있겠구나, 꼭 보고 싶은데 표를 사는 것이 분명이 어렵겠지?	那一定很有意思。我很想看，票一定很难买吧？	nà yídìng hěn yǒu yìsi。hěn xiǎng kàn， piyào yídìng hěnnán mǎi bā？
지금 사러가면 살수 있을 거야	现在去买，可能买得到。	xiànzài qù mǎi，kěnéng  mǎidé dào。
	58	
지금 그림 그리고 있니?	你在画画儿吗？	nǐ zài huàhuà ér ma
그림을 그리는 것이 아니라 붓글씨를 쓰고 있어	在写毛笔字，没画画儿。	zài xiě máobǐzì， méi huàhuàr
너 정말 잘 쓰는구나	你写得真不错！	nǐ  xiě de zhēn búcuò
두 주 동안 연습한 거야. 난 가즈코보다 못써	练了两个星期了。我没有和字写得好。	liànle liǎnggè xīngqī le。wǒ méiyǒu hé zì xiědehǎo。
나도 붓글씨 쓰는 것을 매우 좋아해, 하지만 전혀 쓸 줄 몰라.	我也很喜欢写毛笔字，可是一点儿也不会。	wǒ yě hěn xǐhuan xiě máobǐzì， kěshì yìdiǎner yě búhuì。
상관없어, 네가 배우고 싶다면, 왕선생님께서 가르쳐 주실 거야	没关系，你想学，王老师可以教你。	méiguānxì， nǐ xiǎng xué， wáng lǎoshī kěyǐ jiāo nǐ。
그러면 정말 좋겠다	那太好了。	nà tài hǎo le
계속쓰니까 피곤하다, 좀 쉬고 싶어	写累了，我想休息一会儿。	xiě lèi le， wǒ xiǎng xiūxi yíhuìer。
가자, 산책이나 하러 가자.	走，出去散散步吧。	zǒu， chūqù sànsànbù bā。
	59	
자네 중국어를 정말 잘하는군. 발음도 아주 분명하고.	你汉语说得很不错，发音很清楚。	nǐ hàn yǔ shuō dé hěn bú cuò ，fā yīn hěn qīng chǔ 。
아니예요. 아직도 멀었는걸요.	哪儿啊，还差得远呢。	nǎ ér ā ，hái chà dé yuǎn ne 。
중국어를 배운지 얼마나 됐지?	你学汉语学了多长时间了？	nǐ xué hàn yǔ xué le duō zhǎng shí jiān le ？
6개월 됐어요.	学了半年了。	xué le bàn nián le 。
중국어 신문을 읽을 수 있나?	你能看懂中文报吗？	nǐ néng kàn dǒng zhōng wén bào ma ？
못 읽어요.	不能。	bú néng 。
자네가 생각하기에는 중국어가 어려운가?	你觉得汉语难不难？	nǐ jiào dé hàn yǔ nán bú nán ？
듣기랑 말하기는 어려운 편이지만 읽는 건 그런대로 쉬운 편이예요. 사전을 찾을 수 있으니까요.	听和说比较难，看比较容易，可以查字典。	tīng hé shuō bǐ jiào nán ，kàn bǐ jiào róng yì ，kě yǐ chá zì diǎn 。
내가 하는 말은 알아들을 수 있나?	我说的话，你能听懂吗？	wǒ shuō de huà ，nǐ néng tīng dǒng ma ？
천천히 말씀하시면 알아들을 수 있어요.	慢点儿说，我听得懂。	màn diǎn ér shuō ，wǒ tīng dé dǒng 。
중국인과 얘기를 많이 나눠야 해.	你应该多跟中国人谈话。	nǐ yīng gāi duō gēn zhōng guó rén tán huà 。
맞아요. 그렇게 하면 듣기와 말하기 능력을 향상 시킬 수 있을거예요.	对，这样可以提高听和说的能力。	duì ，zhè yàng kě yǐ tí gāo tīng hé shuō de néng lì 。
	60	
무슨 일로 그렇게 바뻐?	你忙什么呢？	nǐ máng shí me ne ？
짐 챙기고 있어. 아버지가 오시는데 모시고 여행을 가야 하거든.	我在收拾东西呢，我父亲来了，我要陪他去旅行。	wǒ zài shōu shí dōng xī ne ，wǒ fù qīn lái le ，wǒ yào péi tā qù lǚ háng 。
어디로 갈 건데?	去哪儿啊？	qù nǎ ér ā ？
광저우랑 상하이, 그리고 홍콩에도 갈거야. 아버지께 여행가이드를 해드려야 해.	除了广州、上海以外，还要去香港。我得给他当导游。	chú le guǎng zhōu 、shàng hǎi yǐ wài ，hái yào qù xiāng gǎng 。wǒ dé gěi tā dāng dǎo yóu 。
그러면 너희 아버지께서 정말 기뻐하실거야.	那你父亲一定很高兴。	nà nǐ fù qīn yī dìng hěn gāo xìng 。
곤란한 건 광동어랑 상하이말을 모두 알아들을 수 없다는 거야.	麻烦的是广东话、上海话我都听不懂。	má fán de shì guǎng dōng huà 、shàng hǎi huà wǒ dōu tīng bú dǒng 。
괜찮아. 상점이나 호텔에서는 모두 표준어를 할 수 있거든.	没关系，商店、饭店都说普通话。	méi guān xì ，shāng diàn 、fàn diàn dōu shuō pǔ tōng huà 。
그들이 내가 하는 말을 알아들을 수 있을까?	他们能听懂我说的话吗？	tā men néng tīng dǒng wǒ shuō de huà ma ？
당연하지.	没问题。	méi wèn tí 。
그렇다면 마음이 놓이는구나.	那我就放心了。	nà wǒ jiù fàng xīn le 。
	61	
곧 방학이 되는구나. 넌 여행가고 싶지 않니?	快放假了，你想不想去旅行？	kuài fàng jiǎ le ，nǐ xiǎng bú xiǎng qù  lǚ xíng？
당연히 가고 싶지.	当然想。	dāng rán xiǎng 。
중국에는 명승고적이 아주 많은데 어디로 갈까?	中国的名胜古迹多得很，去哪儿呢？	zhōng guó de míng shèng gǔ jì duō dé hěn ，qù nǎ ér ne ？
네가 말하는 대로 따를께.	你说吧，我听你的。	nǐ shuō ba ，wǒ tīng nǐ de 。
먼저 꾸이린에 가자. 그 곳의 경치는 굉장히 아름다워.	先去桂林吧，那儿的风景美极了。	xiān qù guì lín ba ，nà ér de fēng jǐng měi jí le 。
여기에서 꾸이린까지는 기차로 얼마나 걸리지?	从这儿到桂林坐火车要坐多长时间？	cóng zhè ér dào guì lín zuò huǒ chē yào zuò duō zhǎng shí jiān ？
거의 20여 시간이 걸려. 우리 꾸이린에서 3~4일쯤 놀고 나서 상하이에 가자.	大概得二十多个小时。我们在桂林玩儿三四天，然后去上海。	dà gài dé èr shí duō gè xiǎo shí 。wǒ men zài guì lín wán ér sān sì tiān ，rán hòu qù shàng hǎi 。
계획이 좋은데, 그럼 그렇게 하자. 7시에 영화가 있는데 지금 가면 시간에 댈 수 있을까?	这个计划不错，就这么办吧。七点有电影，现在去来得及来不及？	zhè gè jì huá bú cuò ，jiù zhè me bàn ba 。qī diǎn yǒu diàn yǐng ，xiàn zài qù lái dé jí lái bú jí ？
시간에 댈 수 있을거야.	来得及。	lái dé jí 。
우리 영화 보러 가자.	我们看电影去吧。	wǒ men kàn diàn yǐng qù ba 。
그래.	走吧。	zǒu ba 。
	62	
상하이는 중국에서 가장 큰 도시야.	上海是中国最大的城市。	shàng hǎi shì zhōng guó zuì dà de chéng shì 。
맞아. 상하이에는 여기보다 물건이 훨씬 많으니까.	对，上海的东西比这儿多得多。	duì ，shàng hǎi de dōng xī bǐ zhè ér duō dé duō 。
상하이에 가면 선물을 좀 사서 집에 부쳐주고 싶어.	去上海的时候，我想买些礼物寄回家去。	qù shàng hǎi de shí hòu ，wǒ xiǎng mǎi xiē lǐ wù jì huí jiā qù 。
네 생각엔 상하이에서 어디가 제일 번화하니?	你觉得上海哪儿最热闹？	nǐ jiào dé shàng hǎi nǎ ér zuì rè nào ？
난징루야. 거기에는 각양각색의 상점이 있어서 물건을 사기에 아주 편리해.	南京路。那儿有各种各样的商店，买东西非常方便。	nán jīng lù 。nà ér yǒu gè zhǒng gè yàng de shāng diàn ，mǎi dōng xī fēi cháng fāng biàn 。
들은 바로는 상하이의 음식도 꽤 유명하다던데.	听说上海的小吃也很有名。	tīng shuō shàng hǎi de xiǎo chī yě hěn yǒu míng 。
너 위위엔에 놀러 가려는 거 아냐? 	你不是要去豫园游览吗？	nǐ bú shì yào qù yù yuán yóu lǎn ma ？
가는 김에 그곳의 음식을 먹어볼 수 있어.	顺便可以尝尝那儿的小吃。	shùn biàn kě yǐ cháng cháng nà ér de xiǎo chī 。
참. 푸동개발구로 견학가는 것도 괜찮겠다.	对了,你还可以去参观一下儿浦东开发区。	duì le ,nǐ hái kě yǐ qù cān guān yī xià ér pǔ dōng kāi fā qū 。
	63	
너 가즈코 봤니?	你看见和子了吗？	nǐ kàn jiàn hé zǐ le ma ？
못봤어. 홀에 가서 그녀를 찾아봐.	没看见。你进大厅去找她吧。	méi kàn jiàn 。nǐ jìn dà tīng qù zhǎo tā ba 。
가즈코, 표샀어?	和子，买到票了没有？	hé zǐ ，mǎi dào piào le méi yǒu ？
아직 못 샀어.	还没有呢。	hái méi yǒu ne 。
빨리 남쪽의 6번 창구로 가서 사.	快到南边六号窗口去买。	kuài dào nán biān liù hào chuāng kǒu qù mǎi 。
상하이행 표 두 장 주세요.	买两张去上海的票。	mǎi liǎng zhāng qù shàng hǎi de piào 。
언제 것으로 드릴까요?	要哪天的？	yào nǎ tiān de ？
내일 표가 있나요?	明天的有没有？	míng tiān de yǒu méi yǒu ？
매진되었습니다. 모레 것이 있는데 드릴까요?	卖完了。有后天的，要不要？	mài wán le 。yǒu hòu tiān de ，yào bú yào ？
주세요. 낮에 도착하고 싶은데요. 몇 회 표를 사는 게 좋죠?	要。我想白天到，买哪次好？	yào 。wǒ xiǎng bái tiān dào ，mǎi nǎ cì hǎo ？
13회로 사세요. 딱딱한 침대로 하시겠습니까, 푹신한 침대로 하시겠습니까?	买十三次吧。要硬卧还是软卧？	mǎi shí sān cì ba 。yào yìng wò hái shì ruǎn wò ？
딱딱한 침대로 주세요.	硬卧。	yìng wò 。
	64	
베이징으로 가는 비행기표 있어요?	到北京的飞机票有吗?	dào běi jīng de fēi jī piào yǒu ma ?
3일 이내의 표는 모두 매진되었습니다. 조금 빨리 예약하셔야 했어요.	三天以内的都没有了。你应该早点儿预订。	sān tiān yǐ nèi de dōu méi yǒu le 。nǐ yīng gāi zǎo diǎn ér yù dìng 。
급한 일이 잇는데 좀 도와주세요!	我有急事，帮帮忙吧!	wǒ yǒu jí shì ，bāng bāng máng ba !
잠시만요, 제가 다시 찾아보겠습니다. 다행이도 15일 저녁 8시 반환된 표가 한 장 있네요.	你等等，我再查查。真巧，有一张十五号晚上八点的退票。	nǐ děng děng ，wǒ zài chá chá 。zhēn qiǎo ，yǒu yī zhāng shí wǔ hào wǎn shàng bā diǎn de tuì piào 。
사겠습니다. 이건 제 여권이고요. 여쭤볼 게 있는데요. 여기에서 베이징까지 시간이 얼마나 걸리나요?	我要了。这是我的护照。请问，从这儿到北京要多长时间?	wǒ yào le 。zhè shì wǒ de hù zhào 。qǐng wèn ，cóng zhè ér dào běi jīng yào duō zhǎng shí jiān ?
한 시간이 좀 넘게 걸립니다.	一个多小时。	yī gè duō xiǎo shí 。
몇 시에 이륙하죠?	几点起飞?	jǐ diǎn qǐ fēi ?
거기 보시면 티켓에 14시 5분 이륙한다고 쓰여 있습니다.	您看，机票上写着十四点零五分起飞。	nín kàn ，jī piào shàng xiě zhe shí sì diǎn líng wǔ fèn qǐ fēi 。
아가씨, 지갑을 놓고 가셨습니다.	小姐，您的钱包忘在这儿了。	xiǎo jiě ，nín de qián bāo wàng zài zhè ér le 。
정말 감사합니다.	太谢谢你了。	tài xiè xiè nǐ le 。
	65	
마침내 꾸이린에 도착했구나.	终于到了桂林了。	zhōngyú dàole Guìlín le
아이고, 피곤해 죽겠네!	哎呀，累死了!	āiyā，lèi sǐ le
데이빗, 넌 빨리가서 묵을 곳을 찾아봐.	大卫，你快去找住的地方吧。	dàwèi， nǐ kuài qù zhǎo zhù de Dìfang bā
어떤호텔로 잡는 것이 좋을까?	找什么样的旅馆好呢？	zhǎo shénmeyàng de lǚguǎn hǎo ne
교통이 편리한 곳으로 찾기만 하면 돼.	只要找个交通方便的就行	zhǐyào zhǎo gè jiāotōng fāngbiàn de jiù xíng
그러면 너희들은 천천히 가서 앞에 있는 저 버스정류장에서 기다려, 내가 가서 물어볼게.	那你们慢慢地走，在前边那个汽车站等我。我去问问。	nà nǐmen mànmàn de zǒu，zài qiánbiān nàgè Qìchēzhàn děng wǒ。wǒ qù wènwèn
	66	
말씀 좀 묻겠습니다. 빈방 있습니까?	请问，有空房间吗?	qǐng wèn ，yǒu kōng fáng jiān ma ?
지금은 없습니다. 모두 찼어요.	现在没有，都住满了。	xiàn zài méi yǒu ，dōu zhù mǎn le 。
방법이 없을까요? 좀 도와주세요.	请您想想办法，帮个忙吧!	qǐng nín xiǎng xiǎng bàn fǎ ，bāng gè máng ba !
몇 분이십니까?	你们几位?	nǐ men jǐ wèi ?
여자 두 명에 남자 한 명입니다.	两个女的，一个男的。	liǎng gè nǚ de ，yī gè nán de 。
잠시만 기다려보세요. 아마 곧 떠날 손님이 있을 거예요	你们等一会儿看看，可能有客人要走。	nǐ men děng yī huì ér kàn kàn ，kě néng yǒu kè rén yào zǒu 。
이 방 꽤 괜찮지? 창문도 크고.	这个房间很不错，窗户很大。	zhè gè fáng jiān hěn bú cuò ，chuāng hù hěn dà 。
난 목욕하고 싶어.	我想洗澡。	wǒ xiǎng xǐ zǎo 。
먼저 뭘 좀 먹자.	先吃点儿东西吧。	xiān chī diǎn ér dōng xī ba 。
난 배가 안 고파. 지금 막 카스테라를 먹었거든.	我不饿，刚才吃了一块蛋糕。	wǒ bú è ，gāng cái chī le yī kuài dàn gāo 。
저 가방도 옷장 안에 넣어라.	那个包你放进衣柜里去吧。	nà gè bāo nǐ fàng jìn yī guì lǐ qù ba 。
가방이 큰데 들어갈 수 있을까?	包很大，放得进去放不进去？	bāo hěn dà ，fàng dé jìn qù fàng bú jìn qù ？
한번 해 봐.	你试试。	nǐ shì shì 。
들어갈 수 있구나. 내 빨간 셔츠가 왜 안보이지?	放得进去。我的红衬衫怎么不见了？	fàng dé jìn qù 。wǒ de hóng chèn shān zěn me bú jiàn le ？
의자 위에 있잖아.	不是放在椅子上吗？	bú shì fàng zài yǐ zǐ shàng ma ？
아! 방금 놓고는 잊어버렸어.	啊! 刚放的就忘了。	ā ! gāng fàng de jiù wàng le 。
	67	
어디가 아프세요?	大夫：你怎么了？	nǐ zěn me le ？
머리가 아프고 기침이 나와요.	玛丽：我头疼，咳嗽。	wǒ tóu téng ，ké sòu 。
며칠이나 되었죠?	大夫：几天了？	jǐ tiān le ？
어제 오전까지는 괜찮았는데 저녁부터 불편해지기 시작했어요.	玛丽：昨天上午还好好的，晚上就开始不舒服了。	zuó tiān shàng wǔ hái hǎo hǎo de ，wǎn shàng jiù kāi shǐ bú shū fú le 。
약은 먹었나요?	大夫：你吃药了吗？	nǐ chī yào le ma ？
한 번 먹었어요.	玛丽：吃了一次。	chī le yī cì 。
입을 벌려보세요, 좀 보죠. 목이 약간 부었군요.	大夫：你把嘴张开，我看看。嗓子有点儿红。	nǐ bǎ zuǐ zhāng kāi ，wǒ kàn kàn 。sǎng zǐ yǒu diǎn ér hóng 。
무슨 문제가 있는 거예요?	玛丽：有问题吗？	yǒu wèn tí ma ？
아니에요. 체온을 좀 재 봅시다.	大夫：没什么。你试试表吧。	méi shí me 。nǐ shì shì biǎo ba 。
열이 있나요?	玛丽：发烧吗？	fā shāo ma ？
37.6도군요. 감기에 걸렸네요.	大夫：三十七度六，你感冒了。	sān shí qī dù liù ，nǐ gǎn mào le 。
주사를 맞아야 해요?	玛丽：要打针吗？	yào dǎ zhēn ma ？
그럴 필요 없습니다. 이틀 정도 약을 먹으면 좋아질 것입니다.	大夫：不用，吃两天药就会好的。	bú yòng ，chī liǎng tiān yào jiù huì hǎo de 。
	68	
왕란은? 내가 수업 끝나자마자 찾았어. 두 번이나 찾아봤는데 모두 없던걸.	王兰呢？我一下课就找她，找了她两次，都不在。	wáng lán ne ？wǒ yī xià kè jiù zhǎo tā ，zhǎo le tā liǎng cì ，dōu bú zài 。
그녀 입원했어.	她住院了。	tā zhù yuàn le 。
병이 난거야?	病了吗?	bìng le ma ?
아니, 다쳤어.	不是，她受伤了。	bú shì ，tā shòu shāng le 。
어느 병원에 입원했는데?	住哪个医院？	zhù nǎ gè yī yuàn ？
아마 제3병원에 갔을거야.	可能是第三医院。	kě néng shì dì sān yī yuàn 。
지금은 상태가 어떻대? 상처가 심해?	现在情况怎么样？伤得重吗？	xiàn zài qíng kuàng zěn me yàng ？shāng dé zhòng ma ？
아직은 잘 몰라. 검사를 해봐야 알 수 있어.	还不清楚，检查了才能知道。	hái bú qīng chǔ ，jiǎn chá le cái néng zhī dào 。
	69	
왕란이 차에 부딪쳐서 다쳤다던데 그래?	听说王兰被车撞伤了，是吗?	tīng shuō wáng lán bèi chē zhuàng shāng le ，shì ma ?
응, 입원했어.	是的，她住院了。	shì de ，tā zhù yuàn le 。
오늘 오후 우리 그녀 문병가자.	今天下午我们去看看她吧。	jīn tiān xià wǔ wǒ men qù kàn kàn tā ba 。
그래, 우리 뭘 가지고 갈까?	好的, 我们带点儿什么去?	hǎo de , wǒ men dài diǎn ér shen me qù ?
과일 같은 걸로 좀 가지고 가자.	带些水果什么的吧。	dài xiē shuǐ guǒ shí me de ba 。
좋아, 우리 지금 사러 가자.	好，我们现在就去买。	hǎo ，wǒ men xiàn zài jiù qù mǎi 。
참, 최근에 병원 앞에서 도로보수공사를 하고 있어서 차가 병원 문 앞까지 갈 수가 없어.	对了，最近医院前边修路，汽车到不了医院门口。	duì le ，zuì jìn yī yuàn qián biān xiū lù ，qì chē dào bú le yī yuàn mén kǒu 。
그럼 어떻게 하지?	那怎么办?	nà zěn me bàn ?
우리 전 정거장에서 내리자. 거기에서 걸어가도 가까워.	我们在前一站下车，从那儿走着去很近。	wǒ men zài qián yī zhàn xià chē ，cóng nà ér zǒu zhe qù hěn jìn 。
	70	
왕란, 몸은 괜찮아졌니?	王兰，你好点儿了吗？	wáng lán ，nǐ hǎo diǎn ér le ma ？
많이 좋아진 것처럼 보이는데.	看样子，你好多了。	kàn yàng zǐ ，nǐ hǎo duō le 。
하루 하루 나아지는 것 같아.	我觉得一天比一天好。	wǒ jiào dé yī tiān bǐ yī tiān hǎo 。
우리가 너에게 먹을 것 좀 가져왔어. 분명히 좋아할거야.	我们给你带来一些吃的，保证你喜欢。	wǒ men gěi nǐ dài lái yī xiē chī de ，bǎo zhèng nǐ xǐ huān 。
너희들 고맙다.	谢谢你们。	xiè xiè nǐ men 。
여기서 지내는 건 어떠니?	你在这儿过得怎么样?	nǐ zài zhè ér guò dé zěn me yàng ?
안경을 떨어뜨려 부러져서 책을 볼 수가 없어.	眼镜摔坏了，看不了书。	yǎn jìng shuāi huài le ，kàn bú le shū 。
걱정하지 마. 워크맨을 가져왔어.	别着急，给你带来了随身听。	bié zhe jí ，gěi nǐ dài lái le suí shēn tīng 。
잘 쉬어. 다음에 우리가 보러 올게.	你好好休息，下次我们再来看你。	nǐ hǎo hǎo xiū xī ，xià cì wǒ men zài lái kàn nǐ 。
괜찮아, 의사가 나 다음주에 퇴원할 수 있을 거라고 했어.	不用了，大夫说我下星期就能出院。	bú yòng le ，dà fū shuō wǒ xià xīng qī jiù néng chū yuàn 。
정말? 다음주 주말 댄스파티가 있어. 우리 네가 와서 춤추길 기다릴게.	真的? 下个周末有舞会，我们等你来跳舞。	zhēn de ? xià gè zhōu mò yǒu wǔ huì ，wǒ men děng nǐ lái tiào wǔ 。
그래, 꼭 시간 맞춰 갈게.	好，我一定准时到。	hǎo ，wǒ yī dìng zhǔn shí dào 。
	71	
안녕하세요, 왕 선생님!	你好，王先生!	nǐ hǎo ，wáng xiān shēng !
메리양, 오랜만이군. 오늘은 어떻게 여기에 올 시간이 있었나?	玛丽小姐，好久不见了。今天怎么有空儿来了？	mǎ lì xiǎo jiě ，hǎo jiǔ bú jiàn le 。jīn tiān zěn me yǒu kōng ér lái le ？
작별 인사를 드리러 왔어요.	我来向你告别。	wǒ lái xiàng nǐ gào bié 。
어디에 가는데?	你要去哪儿？	nǐ yào qù nǎ ér ？
귀국하려고 하거든요.	我要回国了。	wǒ yào huí guó le 。
시간이 정말 빨리 가는구나. 네가 베이징에 온지 벌써 일 년이 지나다니.	日子过得真快，你来北京已经一年了。	rì zǐ guò dé zhēn kuài ，nǐ lái běi jīng yǐ jīng yī nián le 。
항상 선생님께 폐만 끼쳐드려 정말 죄송합니다.	常来打扰你，很过意不去。	cháng lái dǎ rǎo nǐ ，hěn guò yì bú qù 。
무슨 말인가? 바빠서 제대로 돌봐주지도 못했는걸.	哪儿的话，因为忙，对你的照顾很不够。	nǎ ér de huà ，yīn wéi máng ，duì nǐ de zhào gù hěn bú gòu 。
무슨 그런 말씀을 하세요.	你太客气了。	nǐ tài kè qì le 。
언제 갈 건가? 내가 배웅하러 나가지.	哪天走？我去送你。	nǎ tiān zǒu ？wǒ qù sòng nǐ 。
그렇게 바쁘신데 배웅해 주시지 않으셔도 되요.	你那么忙，不用送了。	nǐ nà me máng ，bú yòng sòng le 。
	72	
이번에 귀국하면 넌 취업준비를 하니, 아니면 계속 공부할거니?	这次回国，你准备工作还是继续学习？	zhè cì huí guó ，nǐ zhǔn bèi gōng zuò hái shì jì xù xué xí ？
대학원 시험을 보려고 해. 공부하면서 일하려고.	我打算考研究生，一边学习，一边工作。	wǒ dǎ suàn kǎo yán jiū shēng ，yī biān xué xí ，yī biān gōng zuò 。
정말 힘들겠구나.	那很辛苦啊。	nà hěn xīn kǔ ā 。
괜찮아. 우리나라에서는 많은 사람들이 이렇게 일하고 있거든.	没什么，我们那儿很多人都这样。	méi shen me ，wǒ men nà ér hěn duō rén dōu zhè yàng 。
네가 귀국할 것이라는 걸 친구들이 모두 알고 있니?	你要回国的事，朋友们都知道了吗？	nǐ yào huí guó de shì ，péng yǒu men dōu zhī dào le ma ？
아는 친구도 있고 모르는 친구도 있어. 며칠 시간나는 틈을 타서 그들에게도 작별인사를 하러 가야지.	有的知道，有的不知道。趁这两天有空儿，我去向他们告别。	yǒu de zhī dào ，yǒu de bú zhī dào 。chèn zhè liǎng tiān yǒu kōng ér ，wǒ qù xiàng tā men gào bié 。
	73	
귀국할 날짜가 점점 가까워지고 있어.	回国的日子越来越近了。	huí guó de rì zǐ yuè lái yuè jìn le 。
너희들이 간다니깐 정말 서운하다.	真舍不得你们走。	zhēn shě bú dé nǐ men zǒu 。
그래. 비록 시간은 길지 않았지만 우리의 우정은 아주 깊었잖아.	是啊，虽然时间不长，但是我们的友谊很深。	shì ā ，suī rán shí jiān bú zhǎng ，dàn shì wǒ men de yǒu yì hěn shēn 。
우리의 통신주소를 노트에 남겨놓았으니까 나중에 자주 연락하자.	我们把通讯地址都留在本子上了，以后常联系。	wǒ men bǎ tōng xùn dì zhǐ dōu liú zài běn zǐ shàng le ，yǐ hòu cháng lián xì 。
너희들이 다시 올 기회가 있을거야.	我想你们还是有机会来的。	wǒ xiǎng nǐ men hái shì yǒu jī huì lái de 。
만약 베이징에 오면 꼭 너희들을 보러 올게.	要是来北京，一定来看你们。	yào shì lái běi jīng ，yī dìng lái kàn nǐ men 。
